position,docid,date,court,title
237,82201464,2012-08-01,Punjab-Haryana High Court,"Harjinder Kaur vs State Of Punjab And Others on 1 August, 2012"
238,115501094,2015-03-05,Delhi High Court,"Naveen Jindal vs M/S Zee Media Corporation Ltd & Anr on 5 March, 2015"
239,7582180,2012-10-15,Delhi High Court,"Bata India Ltd. vs A.M. Turaz & Ors. on 15 October, 2012"
240,793946,1994-12-01,Delhi High Court,"Phoolan Devi vs Shekhar Kapoor And Ors. on 1 December, 1994"
241,859256,2001-08-29,Andhra HC (Pre-Telangana),"M. Vijaya vs Chairman And Managing Director, ... on 29 August, 2001"
242,1014484,2006-04-28,Punjab-Haryana High Court,"Mapsa Tapes Pvt. Ltd. vs Union Of India (Uoi) on 28 April, 2006"
243,176258557,2018-11-02,Bombay High Court,"Rajiv Mohan Mishra vs City And Industrial Development ... on 2 November, 2018"
244,112277185,2018-09-29,Delhi High Court,"Swami Ramdev vs Juggernaut Books Pvt Ltd & Ors on 29 September, 2018"
245,864628,2006-11-22,Punjab-Haryana High Court,"Xcell Automation vs Government Of Punjab And Anr. on 22 November, 2006"
246,64486862,2015-03-12,Delhi High Court,"Priya Parameshwaran Pillai vs Union Of India And Ors. on 12 March, 2015"
247,1452879,1993-12-02,Madras High Court,"V. Krishnan vs G. Rajan Alias Madipu Rajan And The ... on 2 December, 1993"
248,178017626,2014-11-24,Delhi High Court,"Cpio Cum Assistant Commissioner Of ... vs Rakesh Kumar Gupta on 24 November, 2014"
249,317205,2005-05-26,Allahabad High Court,"Suraksha Rani Chopra Wife Of Mahendra ... vs State Of U.P. Through The Secretary ... on 26 May, 2005"
250,485885,1992-07-21,Karnataka High Court,"K.M. Muniswamy Reddy vs State Of Karnataka on <b>21</b> July, 1992"
251,982440,1981-04-10,Delhi High Court,"Peter Samual Wallace vs Inspector General Of Police, New Delhi ... on 10 April, 1981"
252,122389453,2011-05-09,Punjab-Haryana High Court,"M/S Amit Enterprises Through Its ... vs Union Of India And Others on 9 May, 2011"
253,174752817,2013-02-18,Madras High Court,"P.Jayasankar vs Chief Secretary To Government Of ... on 18 February, 2013"
254,13915940,2021-08-13,Madras High Court,"Raptakos Brett And Co Ltd vs Raptakos Brett Employees Union on 13 August, 2021"
255,277485,2002-04-15,Allahabad High Court,"Shamsher Alam Alias Sheru And Anr. vs State Of U.P. And Ors. on 15 April, 2002"
256,139741415,2017-01-27,State of Maharashtra - Section,"Section 5D in The Maharashtra Animal Preservation Act, 1976."
257,68920563,2012-11-21,Delhi High Court,"Dharambir Khattar vs Union Of India & Another on <b>21</b> November, 2012"
258,1058934,2005-06-01,Rajasthan High Court - Jaipur,"Suo Moto vs State Of Rajasthan on 1 June, 2005"
259,94144735,2014-09-03,Karnataka High Court,"Sri. Hanumappa vs Yallakka on 3 September, 2014"
260,44156263,2008-08-14,Calcutta High Court (Appellete Side),"Kishwar Jahan & Anr vs State Of West Bengal & Ors on 14 August, 2008"
261,82359779,2018-08-02,Telangana High Court,"Immadabathuni Nagendramma vs The State Of A.P. on 2 August, 2018"
262,804262,2005-02-09,Rajasthan High Court - Jaipur,"Ravi Shankar Srivastava vs State Of Raj. And Ors. on 9 February, 2005"
263,95550210,2021-04-30,Allahabad High Court,"Anuj Kumar vs State Of U.P. And 2 Others on 30 April, 2021"
264,144523857,2014-04-17,Madras High Court,"Nangai vs The Superintendent Of Police on 17 April, 2014"
265,110611017,2013-12-03,Punjab-Haryana High Court,"Rajli @ Rajjo vs Kapoor Singh And Others on 3 December, 2013"
266,7472709,2020-10-22,Allahabad High Court,"Kishan Paswan vs Union Of India And 3 Others on 22 October, 2020"
267,601938,2010-07-09,Allahabad High Court,"Sanjay Karnwal vs State Of U.P. & Others on 9 July, 2010"
268,183922940,2022-01-17,Delhi High Court,"Jatinder Pal Singh vs Central Bureau Of Investigation & Ors. on 17 January, 2022"
269,1321275,1983-04-22,Andhra HC (Pre-Telangana),"Superintendent Of Post Offices, ... vs Kalluri Vasayya on 22 April, 1983"
270,163434148,2022-11-14,Madhya Pradesh High Court,"Samuel Daniel vs The State Of Madhya Pradesh on 14 November, 2022"
271,83903680,2022-12-08,Delhi High Court,"Sanjay Pandey vs Directorate Of Enforcement on 8 December, 2022"
272,182578645,2021-12-16,Allahabad High Court,"Saumya Tiwari vs State Of U.P. And 3 Others on 16 December, 2021"
273,88278762,2014-11-26,Bombay High Court,"Chalisgaon Education Society And ... vs The State Of Maharashtra And Another on 26 November, 2014"
274,1327029,2008-02-07,Delhi High Court,"Mr. Mahesh Bhatt And Kasturi And Sons vs Union Of India (Uoi) And Anr. on 7 February, 2008"
275,75252584,2021-06-18,Patna High Court - Orders,"Gaurav Kumar Singh vs The Union Of India on 18 June, 2021"
276,1841762,2010-04-27,Madras High Court,"Alarmelu Mangai vs The Secretary To The Government Of Tamil ... on 27 April, 2010"
277,1502997,2004-03-19,Karnataka High Court,"H.M. Prakash @ Dali vs The State Of Karnataka on 19 March, 2004"
278,130071605,2018-12-06,Madras High Court,"M/S.Menaka & Co vs M/S. Arappor Iyakkam on 6 December, 2018"
279,154882206,2017-04-20,Karnataka High Court,"P S Shivakumar vs P H Subbarayappa on 20 April, 2017"
280,67469801,2015-04-22,Gujarat High Court,"Monal Dineshbhai Chokshi & 2 vs State Bank Of India & on 22 April, 2015"
281,61393091,2006-04-06,Madras High Court,"R. Rajagopal @ R.R. Gopal @ Nakkheeran ... vs J. Jayalalitha And Mrs. N. Sassikala on 6 April, 2006"
282,161985683,2006-12-11,Andhra HC (Pre-Telangana),"K.L.D. Nagasree vs Government Of India, Represented By Its ... on 11 December, 2006"
283,1728532,1997-07-29,Punjab-Haryana High Court,"The Director, Agriculture And Anr. vs Gurmukh Mal Shibba Mal And Ors. on 29 July, 1997"
284,24581498,2022-04-29,Madhya Pradesh High Court,"Smt. Rashi Gupta vs Gaurav Gupta on 29 April, 2022"
285,195720592,2021-11-12,Punjab-Haryana High Court,"Neha vs Vibhor Garg on 12 November, 2021"
286,6459241,2010-05-14,Punjab-Haryana High Court,"M/S Om Udyog vs Union Of India And Others on 14 May, 2010"
287,130058,2009-04-23,Madras High Court,"M.Karthika vs R.Manohar on 23 April, 2009"
288,39592873,2008-08-18,Madras High Court,"R.Sukanya vs R.Sridhar on 18 August, 2008"
289,164403892,2022-09-27,Delhi High Court,"Vinai Kumar Saxena vs Aam Aadmi Party & Ors. on 27 September, 2022"
290,62131182,2022-05-27,Jammu & Kashmir High Court - Srinagar Bench,"Mohammad Latief Magrey vs Union Of India And Ors on 27 May, 2022"
291,115135,2008-09-15,Madras High Court,"S.Vani vs The Superintendent Of Police on 15 September, 2008"
292,26237171,2022-04-29,Income Tax Appellate Tribunal - Mumbai,"M/S.Balaji Bullion & Commodities ... vs Dcit Central Circle-40, Mumbai on 29 April, 2022"
293,89449139,2016-06-09,Central Information Commission,"Mr Arun Kumar Agrawal vs Securities And Exchange Board Of India ... on 9 June, 2016"
294,47700095,2017-06-01,Competition Commission of India,"Shri Vinod Kumar Gupta, Chartered ... vs Whatsapp Inc on 1 June, 2017"
295,193543132,2014-04-15,Supreme Court of India,"National Legal Ser.Auth vs Union Of India & Ors on 15 April, 2014"
296,1287559,2010-04-30,Madras High Court,"Krishnagiri District Private Schools' ... vs The State Of Tamil Nadu on 30 April, 2010"
297,7696233,2017-01-20,Andhra HC (Pre-Telangana),"Naveen Krishna Bothireddy vs State Of Telangana And Another on 20 January, 2017"
298,188806075,2019-04-22,Madras High Court,"Arunkumar vs The Inspector General Of Registration on 22 April, 2019"
299,763216,2006-09-07,Madras High Court,"M.Ajmal Khan vs The Election Commission Of India on 7 September, 2006"
300,121687393,2019-04-03,Bombay High Court,"Sudha Sandeep Devgirkr vs Union Of India Through The Secretary And ... on 3 April, 2019"
301,95513255,2002-01-25,Andhra HC (Pre-Telangana),"Abk Prasad vs Union Of India (Uoi) And Ors. on 25 January, 2002"
302,178224377,2012-07-03,Delhi High Court,"Amit Mohan Singh vs Uoi on 3 July, 2012"
303,136850575,2009-03-16,Central Information Commission,"Shri Sc Agrawal vs Prime Minister’S Office (Pmo) on 16 March, 2009"
304,117013093,2022-09-12,Supreme Court of India,"Mohammad Latief Magrey vs The Union Territory Of Jammu And Kashmir on 12 September, 2022"
305,134729746,2022-07-21,Supreme Court of India,"X vs The Principal Secretary Health And ... on <b>21</b> July, 2022"
306,164503286,2021-10-08,Andhra Pradesh High Court - Amravati,"Podili Siva Murali vs The State Of Ap on 8 October, 2021"
307,150445318,2018-04-26,Delhi High Court,"Ravinder vs Govt. Of Nct Of Delhi & Ors. on 26 April, 2018"
308,1813581,2004-03-18,Gujarat High Court,"Sahyog Mahila Mandal And Anr. vs State Of Gujarat And Ors. on 18 March, 2004"
309,11078423,2018-01-30,Gujarat High Court,"Surjibhai Badaji Kalasva-On Behalf Of ... vs State Of Gujarat on 30 January, 2018"
310,185825675,2016-07-29,Himachal Pradesh High Court,"Bhartiya Govansh Rakshan Sanverdhan ... vs The Union Of India & Ors on 29 July, 2016"
311,93452801,2021-10-13,Jammu & Kashmir High Court - Srinagar Bench,"Aditya Raj Kaul & Ors vs Naeem Akhter on 13 October, 2021"
312,190600998,2020-11-17,Allahabad High Court,"Adesh Kumar vs State Of U.P. And Another on 17 November, 2020"
313,114347897,2021-06-18,Patna High Court - Orders,"Shivani Kaushik vs Union Of India on 18 June, 2021"
314,89588267,2018-09-07,Madras High Court,"Surya Vetrikondan vs The State Of Tamilnadu on 7 September, 2018"
315,192197543,2018-04-30,Sikkim High Court,"Sancha Bahadur Subba vs State Of Sikkim And Others on 30 April, 2018"
316,172120796,2016-11-11,Madras High Court,"Saranya vs State By Inspector Of Police on 11 November, 2016"
317,119806696,2014-11-24,Delhi High Court,"Escorts Ltd vs Rakesh Kumar Gupta on 24 November, 2014"
318,160977575,2014-11-24,Delhi High Court,"Rajan Nanda vs Rakesh Kumar Gupta on 24 November, 2014"
319,62888952,2022-05-05,Allahabad High Court,"Abhishek Kumar Yadav vs Union Of India And 3 Others on 5 May, 2022"
320,803459,2006-09-07,Punjab-Haryana High Court,"Mk International vs Union Of India (Uoi) on 7 September, 2006"
321,132116235,2023-01-12,Delhi High Court,"Sushil Ansal vs Endemol India Pvt Ltd & Ors. on 12 January, 2023"
322,119868973,2019-03-15,Madras High Court,"G.K.Mani vs New Generation Media Corporation (P) ... on 15 March, 2019"
323,101695806,2010-12-23,Delhi High Court,"Shri Rohit Shekhar vs Shri Narayan Dutt Tiwari & Anr. on 23 December, 2010"
324,101776672,2023-05-25,Allahabad High Court,"Md Sameer Rao vs State Of U.P. And 2 Others on 25 May, 2023"
325,136474866,2022-06-13,Delhi High Court - Orders,"Hanuman Beniwal And Ors vs Vinay Mishra And Ors on 13 June, 2022"
326,94382510,2021-04-22,Delhi High Court,"Whatsapp Llc vs Competition Commission Of India & Anr. on 22 April, 2021"
327,132726849,2015-06-09,Bombay High Court,"Satish Vasant Salvi vs The State Of Maharashtra And Others on 9 June, 2015"
328,22480467,2011-04-20,Madras High Court,"E.Ashok Kumar vs Hdfc Bank Ltd on 20 April, 2011"
329,596447,2007-03-19,Madhya Pradesh High Court,"Rajneesh Kapoor vs Union Of India (Uoi) And Anr. on 19 March, 2007"
330,406631,1997-04-17,Calcutta High Court,"Bibhuti Bhusan Chakraborty And Another vs Deputy Registrar Of Co-Operative ... on 17 April, 1997"
331,201974,2004-08-18,Calcutta High Court,"Manashi Sinha vs State Of West Bengal And Ors. on 18 August, 2004"
332,114308876,2017-01-10,Punjab-Haryana High Court,"Hawa Singh & Ors vs Maiperson And Anr on 10 January, 2017"
333,1503464,2003-08-13,Allahabad High Court,"Mohd. Akhtar vs State Of U.P. And Ors. on 13 August, 2003"
334,9075307,2019-12-12,Madras High Court,"Deepa Jayakumar vs A.L. Vijay on 12 December, 2019"
335,83572837,2020-06-02,Delhi High Court,"Sasikala Pushpa vs Facebook India And Ors on 2 June, 2020"
336,151798321,2022-04-19,Kerala High Court,"T.N. Suraj vs State Of Kerala on 19 April, 2022"
337,86975386,2022-04-05,Delhi High Court - Orders,"Delhi Rozi-Roti Adhikar Abhiyan vs Union Of India And Ors on 5 April, 2022"
338,46976882,2020-05-15,Allahabad High Court,"Afzal Ansari And 2 Others vs State Of U.P. And 2 Others on 15 May, 2020"
339,101117969,2020-02-14,Kerala High Court,"Vilasini vs State Of Kerala on 14 February, 2020"
340,26058025,2015-02-03,Madras High Court,"Mr.Shivaji Rao Gaikwad vs M/S.Varsha Productions on 3 February, 2015"
341,114007,2009-07-20,Madras High Court,"A.Raja vs P.Srinivasan on 20 July, 2009"
342,819001,1991-11-18,Kerala High Court,"Antony Cherian And Ors. vs Union Of India (Uoi) And Ors. on 18 November, 1991"
343,48794383,2022-04-11,Allahabad High Court,"Ram Vilas Thru. Daughter Sarojani And ... vs State Of U.P. Thru. Prin. Secy. Home And ... on 11 April, 2022"
344,110139869,2021-08-13,Kerala High Court,"Xxx vs State Of Kerala on 13 August, 2021"
345,32516640,2019-07-08,Kerala High Court,"State Of Kerala vs Shyam Balakrishnan on 8 July, 2019"
346,119980704,2018-01-08,Supreme Court - Daily Orders,"Navtej Singh Johar vs Union Of India Ministry Of Law And ... on 8 January, 2018"
347,825778,2010-12-10,Madras High Court,"Muniappan vs Ponni on 10 December, 2010"
348,134033336,2015-11-06,Delhi High Court,"Ajit Singh vs Inspector General Central Industrial ... on 6 November, 2015"
349,833532,1977-10-26,Delhi High Court,"Roop Lal Makkar vs Jagdish Singh And Ors. on 26 October, 1977"
350,95900347,2022-05-06,Central Information Commission,"Shashank Raj (Icici Bank Limited) vs Reserve Bank Of India on 6 May, 2022"
351,115085260,2021-03-17,Competition Commission of India,"People'S All India Anti-Corruption And ... vs Usha International Ltd. & Others on 17 March, 2021"
352,124655100,2022-05-11,Delhi High Court,"Farhan vs State & Anr on 11 May, 2022"
353,192696311,2021-12-22,Madras High Court,"Tamil Nadu Generation And vs Competition Commission Of India on 22 December, 2021"
354,2414252,2012-10-05,Delhi District Court,"State vs Surender Rai Etc on 5 October, 2012"
355,188274951,2015-04-29,Bombay High Court,"Haresh M. Jagtiani vs The State Of Maharashtra on 29 April, 2015"
356,1421755,2009-06-24,Kerala High Court,"Sister Sherly vs Central Bureau Of Investigation on 24 June, 2009"
357,107849895,2017-07-10,Uttarakhand High Court,"Ameet Bhuvan vs Smt Swati Bhaskar on 10 July, 2017"
358,111717993,2014-06-19,Bombay High Court,"Varsha Laxman Deshpande vs The Municipal Commissioner on 19 June, 2014"
359,158375756,2020-04-28,Karnataka High Court,"Smt C S Rajini Annaiah vs The State Election Commission on 28 April, 2020"
360,84277025,2013-11-08,Rajasthan High Court - Jodhpur,"Shiva @ Savaram vs State on 8 November, 2013"
361,196618878,2015-04-29,Bombay High Court,"Arif Usman Kapadia vs The State Of Maharashtra on 29 April, 2015"
362,57569185,2017-09-01,Bombay High Court,"Shri. Ajay Marathe vs Union Of India And Ors on 1 September, 2017"
363,156503178,2012-08-28,Delhi District Court,"State vs Vinod Kumar Sharma on 28 August, 2012"
364,8682191,2022-10-13,Supreme Court of India,"Aishat Shifa vs The State Of Karnataka on 13 October, 2022"
365,140390250,2022-03-15,Karnataka High Court,"Ayesha Hajeera Almas vs Chief Secretary on 15 March, 2022"
366,189493722,2012-04-18,Gujarat High Court,"Bharat vs State on 18 April, 2012"
367,1735887,2006-02-22,Gujarat High Court,"Pramod Bhagwan Nayak vs State Of Gujarat on 22 February, 2006"
368,139650856,2014-05-14,Madras High Court,"Mrs.G.Pravina vs Shri.Narendra Modi on 14 May, 2014"
369,142965220,2020-02-04,Madras High Court,"S.Santhanagopal vs Union Of India on 4 February, 2020"
370,1119941,2010-04-21,Madras High Court,"Compendiously And Concisely The ... vs Throgmorton Publications(1972) 3 All ... on <b>21</b> April, 2010"
371,124743678,2020-06-23,Himachal Pradesh High Court,"Vinod Mittal vs State Of H.P. & Another on 23 June, 2020"
372,180156048,2015-07-13,Central Information Commission,"Mrviqar Ahmad vs Gnctd on 13 July, 2015"
373,33465676,2024-11-08,Supreme Court of India,"Aligarh Muslim University Through Its ... vs Naresh Agarwal on 8 November, 2024"
374,129202312,2023-10-17,Supreme Court of India,"Supriyo @ Supriya Chakraborty vs Union Of India on 17 October, 2023"
375,89188456,2025-01-22,Supreme Court of India,"Mohd Tahir Hussain vs State Of Nct Of Delhi on 22 January, 2025"
376,30055177,2025-05-23,Supreme Court of India,"K. Umadevi vs The Government Of Tamil Nadu on 23 May, 2025"
377,486945,2010-08-03,Supreme Court of India,"Bhabani Prasad Jena Etc vs Convenr.Sec.Orissa S.Comn.For ... on 3 August, 2010"
378,187274458,2018-11-02,Bombay High Court,"Janhit Manch vs State Of Maharashtra Through Principal ... on 2 November, 2018"
379,187782497,2018-11-02,Bombay High Court,"Vivek Velankar vs The State Of Maharashtra And Ors on 2 November, 2018"
380,150638608,2018-11-02,Bombay High Court,"Mayura Maru vs State Of Maharashtra, Through Urban ... on 2 November, 2018"
381,29964749,2018-11-02,Bombay High Court,"Shri. Bhausaheb Baban Khedkar vs Maharashtra Industrial Development ... on 2 November, 2018"
382,72667127,2018-11-02,Bombay High Court,"Shri. Krishna Jotiba Naik vs Maharashtra Industrial Development ... on 2 November, 2018"
383,158558643,2014-08-27,Supreme Court - Daily Orders,"Manoj Narula vs Union Of India on 27 August, 2014"
384,76449328,2024-01-31,Bombay High Court,"Kunal Kamra vs Union Of India on 31 January, 2024"
385,138423490,2025-05-28,Kerala High Court,"Asianet Star Communications Private ... vs Competition Commission Of India on 28 May, 2025"
386,55876660,2025-05-28,Kerala High Court,"Disney Broadcasting (India) Private ... vs Competition Commission Of India on 28 May, 2025"
387,42984851,2023-12-21,Patna High Court,"Lalita Devi vs The State Of Bihar on <b>21</b> December, 2023"
388,120127843,2023-12-21,Patna High Court,"Ranjeet Kumar vs The State Of Bihar on <b>21</b> December, 2023"
389,145215318,2023-12-21,Patna High Court,"Rajnish Kumar vs The State Of Bihar on <b>21</b> December, 2023"
390,181521909,2023-12-21,Patna High Court,"Usha Devi vs The State Of Bihar on <b>21</b> December, 2023"
391,120045750,2023-12-21,Patna High Court,"Meena Devi vs The State Of Bihar on <b>21</b> December, 2023"
392,135383274,2023-12-21,Patna High Court,"Raj Laxmi Bhushan vs The State Of Bihar on <b>21</b> December, 2023"
393,139518229,2023-12-21,Patna High Court,"Sunil Kumar Amar vs The State Of Bihar on <b>21</b> December, 2023"
394,58473880,2019-04-03,Bombay High Court,"Snehal Ravikant Mohite vs Union Of India Through The Secretary And ... on 3 April, 2019"
395,73406697,2019-04-03,Bombay High Court,"Poornima Devu Mandavkar vs The Union Of India And Anr on 3 April, 2019"
396,7003259,2014-04-15,Supreme Court - Daily Orders,"National Legal Ser.Auth. vs Union Of India . on 15 April, 2014"
397,76238264,2015-03-24,Supreme Court - Daily Orders,"Shreya Singhal vs U.O.I. on 24 March, 2015"
398,107846171,2025-01-27,Karnataka High Court,"Dr. Natesha D B vs Directorate Of Enforcement on 27 January, 2025"
399,183708731,2012-07-19,Allahabad High Court,"Hukum Chand vs State Of U.P. Through The Secretary, ... on 19 July, 2012"
400,21280,2005-06-24,Rajasthan High Court - Jaipur,"State Of Rajasthan vs Ravishankar Srivastava on 24 June, 2005"
401,44078,2005-03-09,Allahabad High Court,"Babu Lal And Ors. Through Its Partner ... vs Director Of Income-Tax ... on 9 March, 2005"
402,185917221,2024-01-15,Delhi High Court,"Yogendra Mittal vs Central Bureau Of Investigation on 15 January, 2024"
403,33814040,2024-03-11,Punjab-Haryana High Court,"Dhriti Jain vs State Of Punjab And Others on 11 March, 2024"
404,56955299,2023-12-18,Delhi High Court,"Ultratech Cement Ltd. vs Competition Commission Of India & Anr. on 18 December, 2023"
405,53374878,2025-04-23,Madras High Court,"Tamil Nadu State Marketing Corporation ... vs Directorate Of Enforcement on 23 April, 2025"
406,164061715,2023-08-01,Patna High Court,"Ms. Muskan Kumari vs The State Of Bihar on 1 August, 2023"
407,69304082,2023-08-01,Patna High Court,"Shri. Suresh Kumar Bharadwaj, Ips, ... vs The State Of Bihar on 1 August, 2023"
408,197171312,2023-08-01,Patna High Court,"Ankit Roushan vs The State Of Bihar on 1 August, 2023"
409,15968650,2023-08-01,Patna High Court,"Ek Soch Ek Prayas vs Union Of India on 1 August, 2023"
410,166846945,2023-08-01,Patna High Court,"Youth For Equality vs The State Of Bihar on 1 August, 2023"
411,156932320,2023-08-01,Patna High Court,"Sh. Akhilesh Kumar vs The State Of Bihar on 1 August, 2023"
412,52519361,2023-02-07,Delhi High Court,"Sr.Sephy vs Cbi & Ors. on 7 February, 2023"
413,37566066,2022-08-30,Delhi High Court,"Neetu Singh vs Telegram Fz Llc on 30 August, 2022"
414,181982263,2022-08-25,Delhi High Court,"Facebook Inc vs Competition Commission Of India & Anr. on 25 August, 2022"
415,95739332,2016-01-07,Bombay High Court,"Sunil Shantisarup Gupta vs Dept. Of Legal Affairs And 17 Ors on 7 January, 2016"
416,39678350,1800-01-01,Madras High Court,M/S. Mrf Limited vs Ministry Of Corporate Affairs(Mca)
417,8219413,2025-07-10,Bombay High Court,"Subhash Chandra Agrawal vs Ccentral Public Information Officer , ... on 10 July, 2025"
418,43590281,2025-07-10,Bombay High Court,"Securities And Exchange Of India vs Central Information Commission And Ors on 10 July, 2025"
419,156439866,2025-07-10,Bombay High Court,"Subhash Chandra Agrawal vs Central Public Information Officer , ... on 10 July, 2025"
420,124691180,2025-08-05,Kerala High Court,"Cochin International Airport Limited vs The State Information Commission on 5 August, 2025"
421,185797920,2025-08-05,Kerala High Court,"Cochin International Airport Limited vs The State Information Commission on 5 August, 2025"
422,97482689,2025-08-05,Kerala High Court,"Cochin International Airport Limited vs The State Information Commission on 5 August, 2025"
423,190898590,2025-08-05,Kerala High Court,"Cochin International Airport Limited vs The State Information Commission on 5 August, 2025"
424,158231645,2025-07-10,Bombay High Court,"Securities And Exchange Of India vs Central Information Commission And Ors on 10 July, 2025"
425,113035622,2025-08-05,Kerala High Court,"Cochin International Airport Limited vs The State Information Commission on 5 August, 2025"
426,189278808,2024-02-27,Madras High Court,"Karthick Theodore vs / on 27 February, 2024"
427,49731266,2025-08-28,Delhi High Court,"Prakash Chand Sharma vs Union Of India & Ors on 28 August, 2025"
428,167981563,2025-08-05,Kerala High Court,"Cochin International Airport Limited vs The State Information Commission on 5 August, 2025"
429,125686230,2025-08-05,Kerala High Court,"Cochin International Airport Limited vs The State Information Commission on 5 August, 2025"
430,22662005,2025-08-05,Kerala High Court,"M/S. Cochin International Airport Ltd vs The State Information Commissioner on 5 August, 2025"
431,67689140,2025-08-05,Kerala High Court,"Cochin International Airport Limited vs John George Nechupadom on 5 August, 2025"
432,7475333,2025-08-05,Kerala High Court,"Cochin International Airport Limited vs The State Information Commission on 5 August, 2025"
433,97422668,2025-08-05,Kerala High Court,"Cochin International Airport Limited vs The State Information Commission on 5 August, 2025"
434,106102333,2025-06-27,Kerala High Court,"Raju K K vs State Of Kerala on 27 June, 2025"
435,109257917,2025-08-05,Kerala High Court,"Cochin International Airport Limited vs The State Information Commission on 5 August, 2025"
436,27441040,2025-08-05,Kerala High Court,"Cochin International Airport Limited vs The State Information Commission on 5 August, 2025"
437,97842088,2025-08-05,Kerala High Court,"Cochin International Airport Limited vs The State Information Commission on 5 August, 2025"
438,97926477,2025-07-10,Bombay High Court,"Subhash Chandra Agrawal vs Ccentral Public Information Officer , ... on 10 July, 2025"
439,166108431,2024-04-22,Karnataka High Court,"Dr S M Mannan vs Central Bureau Of Investigation (Anti ... on 22 April, 2024"
440,34056083,2024-09-06,Bombay High Court,"Shyamalendu Kumar Das vs Union Of India And Ors on 6 September, 2024"
441,18178776,2025-07-10,Bombay High Court,"Securities And Exchange Of India vs Central Information Commission And Ors on 10 July, 2025"
442,50029184,2025-07-10,Bombay High Court,"Securities And Exchange Of India vs Central Information Commission And Ors on 10 July, 2025"
443,122355604,2025-07-10,Bombay High Court,"Subhash Chandra Agrawal vs Central Public Information Officer , ... on 10 July, 2025"
444,153319028,2024-05-17,Madras High Court,"P.Naveen Kumar vs Indian Young Lawyers Association And ... on 17 May, 2024"
445,192747513,2024-05-17,Madras High Court,"P.Naveen Kumar vs Indian Young Lawyers Association And ... on 17 May, 2024"
446,162120175,2023-10-10,Telangana High Court,"Chaluvagali Raghavendra Raju, vs Srinivas Goud Virusanolla, on 10 October, 2023"
447,13357823,2022-06-13,Delhi High Court,"Sh. Taukir Ahmad (Hussain) vs State & Anr. on 13 June, 2022"
448,12187593,2022-03-07,Delhi High Court,"Kailash Gahlot vs Vijender Gupta & Ors. on 7 March, 2022"
449,66001807,2013-05-10,Bombay High Court,"Chintan Upadhyay vs Hema Upadhyay & Anr on 10 May, 2013"
450,140064978,2015-04-29,Bombay High Court,"Swatija Paranjpe And 29 Ors vs State Of Maharashtra And 2 Ors on 29 April, 2015"
451,171823035,2015-07-27,Himachal Pradesh High Court,"Dhani Ram Bhatia vs Kalawati And Another on 27 July, 2015"
452,66040334,2025-03-07,Patna High Court,"Shashi Shekhar vs The Central Bureau Of Investigation ... on 7 March, 2025"
453,152568789,2025-06-02,Himachal Pradesh High Court,"Reserved On: 29.5.2025 vs State Of H.P. & Another on 2 June, 2025"
454,151130340,2024-07-24,Himachal Pradesh High Court,"Gaurav Sinha vs State Of Himachal Pradesh on 24 July, 2024"
455,34407607,2024-11-28,Karnataka High Court,"M/S. Vigneshwara Transport Company vs Additional Commissioner Of Central Tax on 28 November, 2024"
456,70453099,2024-07-24,Himachal Pradesh High Court,"Gaurav Sinha vs State Of Himachal Pradesh on 24 July, 2024"
457,46921278,2023-03-22,Orissa High Court,"Varsha Priyadarshini vs Government Of India And Others ... ... on 22 March, 2023"
458,116944316,2023-06-02,Karnataka High Court,"Dr T B Chandrashekar vs State Of Karnataka on 2 June, 2023"
459,121224730,2021-01-21,Bombay High Court,"Dr. Parthsarthi S/O Mukund Shukla vs The Maharashtra Medical Council, ... on <b>21</b> January, 2021"
460,32098747,2021-06-18,Patna High Court - Orders,"Rohit Kumar vs The State Of Bihar And Ors on 18 June, 2021"
461,66764165,2018-01-12,Uttarakhand High Court,"Udham Singh Nagar Dugdha Utpadak ... vs Uttarakhand Information Commission ... on 12 January, 2018"
462,103720775,2014-11-24,Delhi High Court,"Escorts Heart Institute And Research ... vs Rakesh Kumar Gupta on 24 November, 2014"
463,88468711,2012-07-24,Rajasthan High Court - Jaipur,"Sanjay Kumar Singh vs State Of Rajasthan And Ors on 24 July, 2012"
464,154974809,2014-11-24,Delhi High Court,"Aaa Portfolio Pvt Ltd And Anr. vs Rakesh Kumar Gupta on 24 November, 2014"
465,1093244,2004-03-19,Karnataka High Court,"H.M. Prakash Alias Dali vs State Of Karnataka on 19 March, 2004"
466,165898865,2022-08-11,Allahabad High Court,"Manoj Yadav vs State Of U.P. And 3 Others on 11 August, 2022"
467,46000689,2024-03-01,Delhi High Court,"Reshma vs The Commissioner Of Police on 1 March, 2024"
468,137440150,2024-07-01,Delhi High Court,"Lakshmi Murdeshwar Puri vs Saket Gokhale & Anr. on 1 July, 2024"
469,19677405,2025-08-29,Delhi High Court,"Ms. Tanvi Chaturvedi vs Ms. Smita Shrivastava & Anr on 29 August, 2025"
470,74425548,2025-08-12,Delhi High Court,"Sohail Malik vs State Nct Of Delhi & Anr on 12 August, 2025"
471,6205502,2024-02-02,Karnataka High Court,"Ranga Trilochana Bedi @ R.T,Bedi vs Mr. Kabir Bedi on 2 February, 2024"
472,69634896,2022-02-04,Madras High Court,"M.M.Nagar Sports & Recreation Centre vs The Superintendent Of Police on 4 February, 2022"
473,124839210,2022-02-04,Madras High Court,"M.M.Nagar Sports & Recreation Centre vs The Superintendent Of Police on 4 February, 2022"
